Contig,Source,Locus,Number of Genes (before filtering)
CM036577.1,Ibises/Plumbeous_Ibis/bTheCae1_pri,TRA,15
CM036559.1,Ibises/Plumbeous_Ibis/bTheCae1_pri,TRB,17
CM036558.1,Ibises/Plumbeous_Ibis/bTheCae1_pri,TRG,5
CM036577.1,Ibises/Plumbeous_Ibis/bTheCae1_pri,TRD,22
JAJGSS010000569.1,Ibises/Plumbeous_Ibis/bTheCae1_alt,TRB,25
OZ238952.1,Ibises/Eurasian_Spoonbill/bPlaLeu2_pri,TRA,47
OZ238932.1,Ibises/Eurasian_Spoonbill/bPlaLeu2_pri,TRB,9
OZ238931.1,Ibises/Eurasian_Spoonbill/bPlaLeu2_pri,TRG,21
OZ238952.1,Ibises/Eurasian_Spoonbill/bPlaLeu2_pri,TRD,13
CM028549.1,Landfowl/White_Leghorn_Layer_Chicken/bGalGal1_pri,TRA,71
CM028523.1,Landfowl/White_Leghorn_Layer_Chicken/bGalGal1_pri,TRB,15
CM028524.1,Landfowl/White_Leghorn_Layer_Chicken/bGalGal1_pri,TRG,38
CM028549.1,Landfowl/White_Leghorn_Layer_Chicken/bGalGal1_pri,TRD,44
CM028482.1,Landfowl/White_Leghorn_Layer_Chicken/bGalGal1_alt,TRB,20
CM028483.1,Landfowl/White_Leghorn_Layer_Chicken/bGalGal1_alt,TRG,52
CM028508.1,Landfowl/White_Leghorn_Layer_Chicken/bGalGal1_alt,TRD,48
CM041500.1,Landfowl/Rock_Ptarmigan/bLagMut1_pri,TRA,36
CM041476.1,Landfowl/Rock_Ptarmigan/bLagMut1_pri,TRB,11
CM041500.1,Landfowl/Rock_Ptarmigan/bLagMut1_pri,TRD,9
JAMCCU010000755.1,Landfowl/Rock_Ptarmigan/bLagMut1_alt,TRA,37
JAMCCU010000855.1,Landfowl/Rock_Ptarmigan/bLagMut1_alt,TRB,11
JAMCCU010000253.1,Landfowl/Rock_Ptarmigan/bLagMut1_alt,TRG,14
JAMCCU010000755.1,Landfowl/Rock_Ptarmigan/bLagMut1_alt,TRD,9
CATOBQ010005310.1,Landfowl/Western_Capercaillie/bTetUro1_alt,TRB,8
OX596320.1,Landfowl/Western_Capercaillie/bTetUro1_pri,TRA,27
OX596294.1,Landfowl/Western_Capercaillie/bTetUro1_pri,TRB,9
OX596301.1,Landfowl/Western_Capercaillie/bTetUro1_pri,TRG,34
OX596320.1,Landfowl/Western_Capercaillie/bTetUro1_pri,TRD,7
CM078519.1,Landfowl/King_Quail/bCotChi1_alt,TRA,35
CM078496.1,Landfowl/King_Quail/bCotChi1_alt,TRB,5
CM078497.1,Landfowl/King_Quail/bCotChi1_alt,TRG,11
CM078519.1,Landfowl/King_Quail/bCotChi1_alt,TRD,21
CM078206.1,Landfowl/King_Quail/bCotChi1_pri,TRA,37
CM078183.1,Landfowl/King_Quail/bCotChi1_pri,TRB,5
CM078184.1,Landfowl/King_Quail/bCotChi1_pri,TRG,13
CM078206.1,Landfowl/King_Quail/bCotChi1_pri,TRD,20
JALIRH010000135.1,Landfowl/California_Quail/bCalCai1_pri,TRA,35
JALIRH010000067.1,Landfowl/California_Quail/bCalCai1_pri,TRB,4
JALIRH010000135.1,Landfowl/California_Quail/bCalCai1_pri,TRD,5
JALIRI010000085.1,Landfowl/California_Quail/bCalCai1_alt,TRA,30
JALIRI010000079.1,Landfowl/California_Quail/bCalCai1_alt,TRB,4
JALIRI010000085.1,Landfowl/California_Quail/bCalCai1_alt,TRD,5
JAUPFR010000030.1,Landfowl/Mountain_Quail/bOrePic1_pri,TRA,27
JAUPFR010000001.1,Landfowl/Mountain_Quail/bOrePic1_pri,TRB,6
JAUPFR010000007.1,Landfowl/Mountain_Quail/bOrePic1_pri,TRG,11
JAUPFR010000030.1,Landfowl/Mountain_Quail/bOrePic1_pri,TRD,3
JAUPFS010000025.1,Landfowl/Mountain_Quail/bOrePic1_alt,TRA,21
JAUPFS010000002.1,Landfowl/Mountain_Quail/bOrePic1_alt,TRB,5
JAUPFS010000006.1,Landfowl/Mountain_Quail/bOrePic1_alt,TRG,16
JAUPFS010000025.1,Landfowl/Mountain_Quail/bOrePic1_alt,TRD,3
CM000118.5,Landfowl/IMGT_Chicken/bGRCg6a_pri,TRA,75
CM000093.5,Landfowl/IMGT_Chicken/bGRCg6a_pri,TRB,16
CM000094.5,Landfowl/IMGT_Chicken/bGRCg6a_pri,TRG,40
CM000118.5,Landfowl/IMGT_Chicken/bGRCg6a_pri,TRD,45
CM013781.2,Parrots/Kakapo/bStrHab1_pri,TRA,8
CM013762.2,Parrots/Kakapo/bStrHab1_pri,TRB,4
CM013761.2,Parrots/Kakapo/bStrHab1_pri,TRG,1
CM013781.2,Parrots/Kakapo/bStrHab1_pri,TRD,4
CM022648.1,Parrots/Budgerigar/bMelUnd1_pri,TRA,8
CM022633.1,Parrots/Budgerigar/bMelUnd1_pri,TRB,8
CM022632.1,Parrots/Budgerigar/bMelUnd1_pri,TRG,1
CM022648.1,Parrots/Budgerigar/bMelUnd1_pri,TRD,6
CM054393.1,Parrots/BlueAndGold_Macaw/bAraAra1_pri,TRA,22
CM054378.1,Parrots/BlueAndGold_Macaw/bAraAra1_pri,TRB,13
CM054393.1,Parrots/BlueAndGold_Macaw/bAraAra1_pri,TRD,9
CM054254.1,Parrots/BlueAndGold_Macaw/bAraAra1_alt,TRA,16
CM054239.1,Parrots/BlueAndGold_Macaw/bAraAra1_alt,TRB,11
CM054254.1,Parrots/BlueAndGold_Macaw/bAraAra1_alt,TRD,10
CM077897.1,Parrots/YellowCrowned_Amazon/bAmaOch1_pri,TRA,10
CM077877.1,Parrots/YellowCrowned_Amazon/bAmaOch1_pri,TRB,14
CM077885.1,Parrots/YellowCrowned_Amazon/bAmaOch1_pri,TRG,2
CM077897.1,Parrots/YellowCrowned_Amazon/bAmaOch1_pri,TRD,7
CM077867.1,Parrots/YellowCrowned_Amazon/bAmaOch1_alt,TRA,12
CM077847.1,Parrots/YellowCrowned_Amazon/bAmaOch1_alt,TRB,14
CM077855.1,Parrots/YellowCrowned_Amazon/bAmaOch1_alt,TRG,2
CM077867.1,Parrots/YellowCrowned_Amazon/bAmaOch1_alt,TRD,12
CM073823.1,Parrots/Swift_Parrot/bLatDis1_pri,TRA,27
CM073807.1,Parrots/Swift_Parrot/bLatDis1_pri,TRB,8
CM073805.1,Parrots/Swift_Parrot/bLatDis1_pri,TRG,2
CM073823.1,Parrots/Swift_Parrot/bLatDis1_pri,TRD,6
CM073799.1,Parrots/Swift_Parrot/bLatDis1_alt,TRA,10
CM073783.1,Parrots/Swift_Parrot/bLatDis1_alt,TRB,7
CM073781.1,Parrots/Swift_Parrot/bLatDis1_alt,TRG,2
CM073799.1,Parrots/Swift_Parrot/bLatDis1_alt,TRD,7
CM098555.1,Parrots/Golden_Parakeet/bGuaGua1_pri,TRA,12
CM098541.1,Parrots/Golden_Parakeet/bGuaGua1_pri,TRB,9
CM098555.1,Parrots/Golden_Parakeet/bGuaGua1_pri,TRD,6
CM098652.1,Parrots/Golden_Parakeet/bGuaGua1_alt,TRA,11
CM098636.1,Parrots/Golden_Parakeet/bGuaGua1_alt,TRB,9
CM098652.1,Parrots/Golden_Parakeet/bGuaGua1_alt,TRD,6
OY725443.1,Parrots/Mauritius_Parakeet/bPsiEch3_pri,TRA,12
OY725422.1,Parrots/Mauritius_Parakeet/bPsiEch3_pri,TRB,6
OY725421.1,Parrots/Mauritius_Parakeet/bPsiEch3_pri,TRG,1
OY725443.1,Parrots/Mauritius_Parakeet/bPsiEch3_pri,TRD,7
CAUJLE010000131.1,Parrots/Mauritius_Parakeet/bPsiEch3_alt,TRA,8
CAUJLE010000151.1,Parrots/Mauritius_Parakeet/bPsiEch3_alt,TRG,1
CAUJLE010000131.1,Parrots/Mauritius_Parakeet/bPsiEch3_alt,TRD,7
CM030015.1,Plovers/European_Golden_Plover/bPluApr1_pri,TRA,20
CM030007.1,Plovers/European_Golden_Plover/bPluApr1_pri,TRB,11
CM030008.1,Plovers/European_Golden_Plover/bPluApr1_pri,TRG,9
CM030015.1,Plovers/European_Golden_Plover/bPluApr1_pri,TRD,11
JAGGDW010000855.1,Plovers/European_Golden_Plover/bPluApr1_alt,TRA,20
JAGGDW010000415.1,Plovers/European_Golden_Plover/bPluApr1_alt,TRB,9
JAGGDW010000778.1,Plovers/European_Golden_Plover/bPluApr1_alt,TRG,9
JAGGDW010000855.1,Plovers/European_Golden_Plover/bPluApr1_alt,TRD,12
OZ246540.1,Plovers/Northern_Lapwing/bVanVan1_pri,TRA,61
OZ246516.1,Plovers/Northern_Lapwing/bVanVan1_pri,TRB,15
OZ246517.1,Plovers/Northern_Lapwing/bVanVan1_pri,TRG,5
OZ246540.1,Plovers/Northern_Lapwing/bVanVan1_pri,TRD,9
CM018094.1,Plovers/Razorbill/bAlcTor1_pri,TRA,52
CM018076.1,Plovers/Razorbill/bAlcTor1_pri,TRB,32
CM018094.1,Plovers/Razorbill/bAlcTor1_pri,TRD,6
VMEC01001121.1,Plovers/Razorbill/bAlcTor1_alt,TRB,23
VMEC01001465.1,Plovers/Razorbill/bAlcTor1_alt,TRD,1
OZ067265.1,Plovers/Eurasian_Curlew/bNumArq3_pri,TRA,91
OZ067241.1,Plovers/Eurasian_Curlew/bNumArq3_pri,TRB,24
OZ067248.1,Plovers/Eurasian_Curlew/bNumArq3_pri,TRG,5
OZ067265.1,Plovers/Eurasian_Curlew/bNumArq3_pri,TRD,13
CM020454.1,Plovers/Common_Tern/bSteHir1_pri,TRA,52
CM020437.1,Plovers/Common_Tern/bSteHir1_pri,TRB,39
CM020438.1,Plovers/Common_Tern/bSteHir1_pri,TRG,36
CM020454.1,Plovers/Common_Tern/bSteHir1_pri,TRD,11
WNMX01001706.1,Plovers/Common_Tern/bSteHir1_alt,TRD,10
CM052048.1,Plovers/BlackLegged_Kittiwake/bRisTri1_pri,TRA,72
CM052030.1,Plovers/BlackLegged_Kittiwake/bRisTri1_pri,TRB,39
CM052031.1,Plovers/BlackLegged_Kittiwake/bRisTri1_pri,TRG,13
CM052048.1,Plovers/BlackLegged_Kittiwake/bRisTri1_pri,TRD,9
CM053003.1,Plovers/BlackLegged_Kittiwake/bRisTri1_alt,TRA,73
CM052985.1,Plovers/BlackLegged_Kittiwake/bRisTri1_alt,TRB,40
CM052986.1,Plovers/BlackLegged_Kittiwake/bRisTri1_alt,TRG,13
CM053003.1,Plovers/BlackLegged_Kittiwake/bRisTri1_alt,TRD,9
CAWUPG010000174.1,Plovers/BlackHeaded_Gull/bChrRid1_alt,TRA,87
CAWUPG010000335.1,Plovers/BlackHeaded_Gull/bChrRid1_alt,TRB,31
CAWUPG010000084.1,Plovers/BlackHeaded_Gull/bChrRid1_alt,TRG,80
OZ001750.1,Plovers/BlackHeaded_Gull/bChrRid1_pri,TRA,109
OZ001733.1,Plovers/BlackHeaded_Gull/bChrRid1_pri,TRB,24
OZ001734.1,Plovers/BlackHeaded_Gull/bChrRid1_pri,TRG,142
OZ001750.1,Plovers/BlackHeaded_Gull/bChrRid1_pri,TRD,11
OZ010771.1,Plovers/Lesser_BlackBacked_Gull/bLarFus1_pri,TRA,89
OZ010753.1,Plovers/Lesser_BlackBacked_Gull/bLarFus1_pri,TRB,41
OZ010754.1,Plovers/Lesser_BlackBacked_Gull/bLarFus1_pri,TRG,24
OZ010771.1,Plovers/Lesser_BlackBacked_Gull/bLarFus1_pri,TRD,12
CAWVQZ010000883.1,Plovers/Lesser_BlackBacked_Gull/bLarFus1_alt,TRB,44
CAWVQZ010001116.1,Plovers/Lesser_BlackBacked_Gull/bLarFus1_alt,TRG,17
OZ118765.1,Plovers/YellowLegged_Gull/bLarMic1_pri,TRA,89
OZ118746.1,Plovers/YellowLegged_Gull/bLarMic1_pri,TRB,61
OZ118747.1,Plovers/YellowLegged_Gull/bLarMic1_pri,TRG,30
OZ118765.1,Plovers/YellowLegged_Gull/bLarMic1_pri,TRD,11
CAXMZI010000214.1,Plovers/YellowLegged_Gull/bLarMic1_alt,TRB,36
CAXMZI010001478.1,Plovers/YellowLegged_Gull/bLarMic1_alt,TRD,11
OZ207404.1,Plovers/Herring_Gull/bLarArg3_pri,TRA,83
OZ207386.1,Plovers/Herring_Gull/bLarArg3_pri,TRB,53
OZ207387.1,Plovers/Herring_Gull/bLarArg3_pri,TRG,19
OZ207404.1,Plovers/Herring_Gull/bLarArg3_pri,TRD,14
JBFPNB010000023.1,Plovers/Snowy_Plover/bChaNiv1_pri,TRA,60
JBFPNB010000001.1,Plovers/Snowy_Plover/bChaNiv1_pri,TRB,13
JBFPNB010000002.1,Plovers/Snowy_Plover/bChaNiv1_pri,TRG,45
JBFPNB010000023.1,Plovers/Snowy_Plover/bChaNiv1_pri,TRD,13
JBFPNC010000021.1,Plovers/Snowy_Plover/bChaNiv1_alt,TRA,51
JBFPNC010000001.1,Plovers/Snowy_Plover/bChaNiv1_alt,TRB,14
JBFPNC010000002.1,Plovers/Snowy_Plover/bChaNiv1_alt,TRG,22
JBFPNC010000021.1,Plovers/Snowy_Plover/bChaNiv1_alt,TRD,13
CM070232.1,Suboscines/WhiteCrowned_Manakin/bDixPip1_pri,TRA,14
CM070208.1,Suboscines/WhiteCrowned_Manakin/bDixPip1_pri,TRB,7
CM070207.1,Suboscines/WhiteCrowned_Manakin/bDixPip1_pri,TRG,3
CM070232.1,Suboscines/WhiteCrowned_Manakin/bDixPip1_pri,TRD,2
CM070201.1,Suboscines/WhiteCrowned_Manakin/bDixPip1_alt,TRA,24
CM070177.1,Suboscines/WhiteCrowned_Manakin/bDixPip1_alt,TRB,9
CM070176.1,Suboscines/WhiteCrowned_Manakin/bDixPip1_alt,TRG,3
CM070201.1,Suboscines/WhiteCrowned_Manakin/bDixPip1_alt,TRD,2
JBIYRB010000064.1,Suboscines/Xingu_ScaleBacked_Antbird/bWilVid1_pri,TRA,19
CM098431.1,Suboscines/Xingu_ScaleBacked_Antbird/bWilVid1_pri,TRB,12
CM098438.1,Suboscines/Xingu_ScaleBacked_Antbird/bWilVid1_pri,TRG,11
CM098455.1,Suboscines/Xingu_ScaleBacked_Antbird/bWilVid1_pri,TRD,1
JBIYRC010000143.1,Suboscines/Xingu_ScaleBacked_Antbird/bWilVid1_alt,TRA,19
CM098486.1,Suboscines/Xingu_ScaleBacked_Antbird/bWilVid1_alt,TRB,12
CM098493.1,Suboscines/Xingu_ScaleBacked_Antbird/bWilVid1_alt,TRG,12
CM098510.1,Suboscines/Xingu_ScaleBacked_Antbird/bWilVid1_alt,TRD,1
CM020534.1,Suboscines/LancedTailed_Manakin/bChiLan1_pri,TRB,4
CM020533.1,Suboscines/LancedTailed_Manakin/bChiLan1_pri,TRG,3
CM020558.1,Suboscines/LancedTailed_Manakin/bChiLan1_pri,TRD,1
WNMD01003823.1,Suboscines/LancedTailed_Manakin/bChiLan1_alt,TRA,16
WNMD01003823.1,Suboscines/LancedTailed_Manakin/bChiLan1_alt,TRD,2
CM012139.1,Hummingbirds/Annas_Hummingbird/bCalAnn1_pri,TRA,9
CM012114.1,Hummingbirds/Annas_Hummingbird/bCalAnn1_pri,TRB,6
CM012115.1,Hummingbirds/Annas_Hummingbird/bCalAnn1_pri,TRG,3
RRCE01002940.1,Hummingbirds/Annas_Hummingbird/bCalAnn1_alt,TRA,9
RRCE01000194.1,Hummingbirds/Annas_Hummingbird/bCalAnn1_alt,TRG,3
JBEFNK010000029.1,Hummingbirds/Allens_Hummingbird/bSelSas1_pri,TRA,10
JBEFNK010000001.1,Hummingbirds/Allens_Hummingbird/bSelSas1_pri,TRB,6
JBEFNK010000002.1,Hummingbirds/Allens_Hummingbird/bSelSas1_pri,TRG,3
JBEFNL010000030.1,Hummingbirds/Allens_Hummingbird/bSelSas1_alt,TRA,11
JBEFNL010000001.1,Hummingbirds/Allens_Hummingbird/bSelSas1_alt,TRB,6
JBEFNL010000002.1,Hummingbirds/Allens_Hummingbird/bSelSas1_alt,TRG,3
CM104687.1,Hummingbirds/LongTailed_Hermit/bPhaSup1_pri,TRA,4
CM104660.1,Hummingbirds/LongTailed_Hermit/bPhaSup1_pri,TRB,4
CM104661.1,Hummingbirds/LongTailed_Hermit/bPhaSup1_pri,TRG,3
JAJQWK020000157.1,Hummingbirds/LongTailed_Hermit/bPhaSup1_alt,TRA,4
JAJQWK020000006.1,Hummingbirds/LongTailed_Hermit/bPhaSup1_alt,TRB,4
JAJQWK020000030.1,Hummingbirds/LongTailed_Hermit/bPhaSup1_alt,TRG,3
CM069772.1,Hummingbirds/Tourmaline_Sunangel/bHelExo1_pri,TRB,9
CM069773.1,Hummingbirds/Tourmaline_Sunangel/bHelExo1_pri,TRG,4
CM069805.1,Hummingbirds/Tourmaline_Sunangel/bHelExo1_alt,TRB,9
CM069806.1,Hummingbirds/Tourmaline_Sunangel/bHelExo1_alt,TRG,4
JAKDEW010000045.1,Songbirds/Bells_Sparrow/bArtBel1_pri,TRA,20
JAKDEW010000002.1,Songbirds/Bells_Sparrow/bArtBel1_pri,TRB,9
JAKDEW010000001.1,Songbirds/Bells_Sparrow/bArtBel1_pri,TRG,2
JAKDEW010000045.1,Songbirds/Bells_Sparrow/bArtBel1_pri,TRD,5
JAKDEX010000337.1,Songbirds/Bells_Sparrow/bArtBel1_alt,TRG,2
CM100636.1,Songbirds/Bengalese_Finch/bLonStr1_pri,TRA,26
CM100613.1,Songbirds/Bengalese_Finch/bLonStr1_pri,TRB,15
CM100612.1,Songbirds/Bengalese_Finch/bLonStr1_pri,TRG,2
CM100636.1,Songbirds/Bengalese_Finch/bLonStr1_pri,TRD,4
CM100683.1,Songbirds/Bengalese_Finch/bLonStr1_alt,TRA,49
CM100660.1,Songbirds/Bengalese_Finch/bLonStr1_alt,TRB,15
CM100659.1,Songbirds/Bengalese_Finch/bLonStr1_alt,TRG,2
CM100683.1,Songbirds/Bengalese_Finch/bLonStr1_alt,TRD,4
CM059956.1,Songbirds/BlackCapped_Chickadee/bPoeAtr1_pri,TRA,27
CM059930.1,Songbirds/BlackCapped_Chickadee/bPoeAtr1_pri,TRB,7
CM059931.1,Songbirds/BlackCapped_Chickadee/bPoeAtr1_pri,TRG,2
CM059956.1,Songbirds/BlackCapped_Chickadee/bPoeAtr1_pri,TRD,13
CM059917.1,Songbirds/BlackCapped_Chickadee/bPoeAtr1_alt,TRA,23
CM059891.1,Songbirds/BlackCapped_Chickadee/bPoeAtr1_alt,TRB,7
CM059892.1,Songbirds/BlackCapped_Chickadee/bPoeAtr1_alt,TRG,2
CM059917.1,Songbirds/BlackCapped_Chickadee/bPoeAtr1_alt,TRD,5
CM100557.1,Songbirds/Blue_Jay/bCyaCrs1_pri,TRA,40
CM100532.1,Songbirds/Blue_Jay/bCyaCrs1_pri,TRB,10
CM100531.1,Songbirds/Blue_Jay/bCyaCrs1_pri,TRG,2
CM100557.1,Songbirds/Blue_Jay/bCyaCrs1_pri,TRD,4
CM100601.1,Songbirds/Blue_Jay/bCyaCrs1_alt,TRA,43
CM100576.1,Songbirds/Blue_Jay/bCyaCrs1_alt,TRB,10
CM100575.1,Songbirds/Blue_Jay/bCyaCrs1_alt,TRG,2
CM100601.1,Songbirds/Blue_Jay/bCyaCrs1_alt,TRD,3
JAQMYR010000027.1,Songbirds/California_Scrub_Jay/bAphCal1_pri,TRA,32
JAQMYR010000002.1,Songbirds/California_Scrub_Jay/bAphCal1_pri,TRB,10
JAQMYR010000001.1,Songbirds/California_Scrub_Jay/bAphCal1_pri,TRG,2
JAQMYR010000027.1,Songbirds/California_Scrub_Jay/bAphCal1_pri,TRD,4
JAQMYS010000058.1,Songbirds/California_Scrub_Jay/bAphCal1_alt,TRA,36
JAQMYS010000002.1,Songbirds/California_Scrub_Jay/bAphCal1_alt,TRB,12
JAQMYS010000001.1,Songbirds/California_Scrub_Jay/bAphCal1_alt,TRG,2
JAQMYS010000058.1,Songbirds/California_Scrub_Jay/bAphCal1_alt,TRD,3
OY740751.1,Songbirds/Common_Chaffinch/bFriCoe1_pri,TRA,25
OY740725.1,Songbirds/Common_Chaffinch/bFriCoe1_pri,TRB,22
OY740724.1,Songbirds/Common_Chaffinch/bFriCoe1_pri,TRG,2
OY740751.1,Songbirds/Common_Chaffinch/bFriCoe1_pri,TRD,8
CAUPSH010001258.1,Songbirds/Common_Chaffinch/bFriCoe1_alt,TRA,31
CAUPSH010000584.1,Songbirds/Common_Chaffinch/bFriCoe1_alt,TRB,28
CAUPSH010001187.1,Songbirds/Common_Chaffinch/bFriCoe1_alt,TRG,3
CAUPSH010001258.1,Songbirds/Common_Chaffinch/bFriCoe1_alt,TRD,7
CM050556.1,Songbirds/Common_Myna/bAcrTri1_pri,TRA,73
CM050532.1,Songbirds/Common_Myna/bAcrTri1_pri,TRB,16
CM050531.1,Songbirds/Common_Myna/bAcrTri1_pri,TRG,2
CM050556.1,Songbirds/Common_Myna/bAcrTri1_pri,TRD,6
JAPZMP010001468.1,Songbirds/Common_Myna/bAcrTri1_alt,TRA,17
JAPZMP010000839.1,Songbirds/Common_Myna/bAcrTri1_alt,TRB,17
JAPZMP010000818.1,Songbirds/Common_Myna/bAcrTri1_alt,TRG,2
CM019927.1,Songbirds/Common_Yellowthroat/bGeoTri1_pri,TRA,34
CM019902.1,Songbirds/Common_Yellowthroat/bGeoTri1_pri,TRB,12
CM019901.1,Songbirds/Common_Yellowthroat/bGeoTri1_pri,TRG,3
CM019927.1,Songbirds/Common_Yellowthroat/bGeoTri1_pri,TRD,9
WSPK01001491.1,Songbirds/Common_Yellowthroat/bGeoTri1_alt,TRB,21
WSPK01002194.1,Songbirds/Common_Yellowthroat/bGeoTri1_alt,TRG,3
CM055940.1,Songbirds/Eastern_BlackEared_Wheatear/bOenMel1_pri,TRA,76
CM055913.1,Songbirds/Eastern_BlackEared_Wheatear/bOenMel1_pri,TRB,11
CM055915.1,Songbirds/Eastern_BlackEared_Wheatear/bOenMel1_pri,TRG,1
CM055940.1,Songbirds/Eastern_BlackEared_Wheatear/bOenMel1_pri,TRD,10
CM020491.1,Songbirds/European_Blackcap/bSylAtr1_pri,TRA,16
CM020466.1,Songbirds/European_Blackcap/bSylAtr1_pri,TRB,24
CM020465.1,Songbirds/European_Blackcap/bSylAtr1_pri,TRG,1
CM020491.1,Songbirds/European_Blackcap/bSylAtr1_pri,TRD,1
WNMZ01000570.1,Songbirds/European_Blackcap/bSylAtr1_alt,TRB,20
WNMZ01001274.1,Songbirds/European_Blackcap/bSylAtr1_alt,TRG,1
WNMZ01002136.1,Songbirds/European_Blackcap/bSylAtr1_alt,TRD,2
LR812131.1,Songbirds/European_Robin/bEriRub2_pri,TRA,45
LR812103.1,Songbirds/European_Robin/bEriRub2_pri,TRB,11
LR812105.2,Songbirds/European_Robin/bEriRub2_pri,TRG,2
LR812131.1,Songbirds/European_Robin/bEriRub2_pri,TRD,3
CAIGJN020002884.1,Songbirds/European_Robin/bEriRub2_alt,TRA,33
CAIGJN020001015.1,Songbirds/European_Robin/bEriRub2_alt,TRB,11
CAIGJN020002884.1,Songbirds/European_Robin/bEriRub2_alt,TRD,5
CM025982.1,Songbirds/Garden_Warbler/bSylBor1_pri,TRA,28
CM025958.1,Songbirds/Garden_Warbler/bSylBor1_pri,TRB,20
CM025957.1,Songbirds/Garden_Warbler/bSylBor1_pri,TRG,1
CM025982.1,Songbirds/Garden_Warbler/bSylBor1_pri,TRD,4
JACEWF010000024.1,Songbirds/Garden_Warbler/bSylBor1_alt,TRB,30
JACEWF010000004.1,Songbirds/Garden_Warbler/bSylBor1_alt,TRG,2
CM036346.1,Songbirds/Hawaiian_Crow/bCorHaw1_pri,TRA,55
CM036347.1,Songbirds/Hawaiian_Crow/bCorHaw1_pri,TRB,24
CM036346.1,Songbirds/Hawaiian_Crow/bCorHaw1_pri,TRG,2
CM036346.1,Songbirds/Hawaiian_Crow/bCorHaw1_pri,TRD,1
JAJGSZ010000258.1,Songbirds/Hawaiian_Crow/bCorHaw1_alt,TRA,4
JAJGSZ010001027.1,Songbirds/Hawaiian_Crow/bCorHaw1_alt,TRB,14
JAJGSZ010000338.1,Songbirds/Hawaiian_Crow/bCorHaw1_alt,TRG,2
JAJGSZ010000258.1,Songbirds/Hawaiian_Crow/bCorHaw1_alt,TRD,1
JBHOIP010000059.1,Songbirds/House_Finch/AL_1_alt,TRA,23
JBHOIP010000004.1,Songbirds/House_Finch/AL_1_alt,TRB,24
JBHOIP010000132.1,Songbirds/House_Finch/AL_1_alt,TRG,2
JBHOIP010000059.1,Songbirds/House_Finch/AL_1_alt,TRD,10
JBHOIO010000120.1,Songbirds/House_Finch/AL_1_pri,TRA,31
JBHOIO010000022.1,Songbirds/House_Finch/AL_1_pri,TRB,34
JBHOIO010000140.1,Songbirds/House_Finch/AL_1_pri,TRG,2
JBHOIO010000120.1,Songbirds/House_Finch/AL_1_pri,TRD,9
JBHOIN010000121.1,Songbirds/House_Finch/AL_2_alt,TRA,38
JBHOIN010000001.1,Songbirds/House_Finch/AL_2_alt,TRB,31
JBHOIN010000143.1,Songbirds/House_Finch/AL_2_alt,TRG,2
JBHOIN010000121.1,Songbirds/House_Finch/AL_2_alt,TRD,8
JBHOIM010000116.1,Songbirds/House_Finch/AL_2_pri,TRA,33
JBHOIM010000036.1,Songbirds/House_Finch/AL_2_pri,TRB,27
JBHOIM010000099.1,Songbirds/House_Finch/AL_2_pri,TRG,2
JBHOIM010000116.1,Songbirds/House_Finch/AL_2_pri,TRD,15
JBHOIX010000045.1,Songbirds/House_Finch/AZ_1_alt,TRA,21
JBHOIX010000061.1,Songbirds/House_Finch/AZ_1_alt,TRB,41
JBHOIX010000031.1,Songbirds/House_Finch/AZ_1_alt,TRG,2
JBHOIX010000045.1,Songbirds/House_Finch/AZ_1_alt,TRD,9
JBHOIW010000034.1,Songbirds/House_Finch/AZ_1_pri,TRA,33
JBHOIW010000008.1,Songbirds/House_Finch/AZ_1_pri,TRB,37
JBHOIW010000088.1,Songbirds/House_Finch/AZ_1_pri,TRG,2
JBHOIW010000034.1,Songbirds/House_Finch/AZ_1_pri,TRD,11
JBHOIV010000084.1,Songbirds/House_Finch/AZ_2_alt,TRA,33
JBHOIV010000024.1,Songbirds/House_Finch/AZ_2_alt,TRB,25
JBHOIV010000004.1,Songbirds/House_Finch/AZ_2_alt,TRG,2
JBHOIV010000084.1,Songbirds/House_Finch/AZ_2_alt,TRD,8
JBHOIU010000133.1,Songbirds/House_Finch/AZ_2_pri,TRA,25
JBHOIU010000020.1,Songbirds/House_Finch/AZ_2_pri,TRB,31
JBHOIU010000184.1,Songbirds/House_Finch/AZ_2_pri,TRG,2
JBHOIU010000133.1,Songbirds/House_Finch/AZ_2_pri,TRD,8
JBHOJF010001015.1,Songbirds/House_Finch/CA_1_alt,TRG,2
JBHOJE010000465.1,Songbirds/House_Finch/CA_1_pri,TRB,37
JBHOJD010000885.1,Songbirds/House_Finch/CA_2_alt,TRA,31
JBHOJD010000177.1,Songbirds/House_Finch/CA_2_alt,TRB,23
JBHOJD010000194.1,Songbirds/House_Finch/CA_2_alt,TRG,2
JBHOJD010000885.1,Songbirds/House_Finch/CA_2_alt,TRD,11
JBHOJC010001350.1,Songbirds/House_Finch/CA_2_pri,TRA,20
JBHOJC010000435.1,Songbirds/House_Finch/CA_2_pri,TRB,31
JBHOJC010000213.1,Songbirds/House_Finch/CA_2_pri,TRG,2
JBHOJC010001861.1,Songbirds/House_Finch/CA_2_pri,TRD,9
JBHOID010000051.1,Songbirds/House_Finch/MA_1_alt,TRA,20
JBHOID010000009.1,Songbirds/House_Finch/MA_1_alt,TRB,35
JBHOID010000066.1,Songbirds/House_Finch/MA_1_alt,TRG,2
JBHOID010000051.1,Songbirds/House_Finch/MA_1_alt,TRD,14
